GHARPAYY — LEAD MATCHING & LOCATION NORMALIZATION GUIDE,,,,,
AI entity resolution: map any free-text location input → canonical area → PIN code → sub-locality → distance features,,,,,
GHARPAYY LEAD SCHEMA — FIELDS TO CAPTURE & MATCH,,,,,
Field ID,Label,Data Type,Example Input,Normalization Rule,
name,Lead Name,Text,John Doe / Ravi Kumar,Exact match; fuzzy for duplicates,
phone,Mobile Number,10-digit numeric,9876543210,"Normalize: strip +91, spaces, dashes",
email,Email Address,Email,ravi@company.com,"Lowercase, strip whitespace",
office_location,Office / Workplace,Free text,"'Manyata Tech Park', 'Bagmane', 'ITPL'",→ match to tech_parks canonical name → get lat/lng,
current_location,Current Area/Locality,Free text,"'Koramangala 5th block', 'HSR sec 7'",→ normalize → canonical sub-locality → get lat/lng,
preferred_location,Preferred Area to Stay,Free text,"'BTM 2nd stage', 'near Koramangala'",→ normalize → canonical area → suggest nearby PGs,
budget_min,Minimum Budget (₹/mo),Integer,5000,"Numeric; strip commas, 'k' suffix",
budget_max,Maximum Budget (₹/mo),Integer,15000 / '15k',Normalize: 15k → 15000,
room_type,Room Type Preference,Enum,Single/Double/Triple,Normalize to standard enum,
gender,Gender,Enum,Male/Female/Any,Normalize,
occupation,Student or Professional,Enum,Student/Working Professional,Derive from context if not stated,
target_office_id,Matched Tech Park ID,FK → tech_parks,Auto-matched,Nearest tech park from office_location,
target_pin,Matched PIN Code,FK → pincodes,Auto-matched,From canonical area mapping,
dist_office_to_preferred_km,Distance: Office → Preferred Area,Float,2.45,Haversine; pre-computed from matrix,
nearest_metro_station,Nearest Metro to Preferred Area,Text,BTM Layout Metro (Yellow),From metro distance pre-computation,
dist_to_metro_km,Distance to Nearest Metro (km),Float,0.8,Pre-computed,
,,,,,
,,,,,
LOCATION ALIAS DICTIONARY — Map Free Text → Canonical Area,,,,,
Alias / Input Variation,Canonical Name,PIN Code,Zone,,
"koramangala, koramnagala, kora, 5th block, koramangala 5",Koramangala 5th Block,560034,South-East,,
"koramangala 8, kor 8, k8, 8th block kora",Koramangala 8th Block,560034,South-East,,
"koramangala 1, forum mall area, 1st block koramangala",Koramangala 1st Block,560034,South-East,,
"hsr, hsr layout, hsr sector 1, sector1, 27th main",HSR Layout Sector 1,560102,South-East,,
"hsr sector 7, 5th main hsr, hsr sec7",HSR Layout Sector 7,560102,South-East,,
"hsr sector 2, sector2 hsr",HSR Layout Sector 2,560102,South-East,,
"btm, btm2, btm 2nd stage, btm layout 2",BTM Layout 2nd Stage,560076,South,,
"btm 1, btm1, btm 1st stage",BTM Layout 1st Stage,560076,South,,
"jayanagar, jay nagar, jaynagar, jn, jaya nagar 4th",Jayanagar 4th Block,560041,South,,
"jp nagar, jpnagar, j p nagar phase 2",JP Nagar Phase 2,560078,South,,
"indiranagar, indira nagar, ind nagar, 100 feet road",Indiranagar 100 Feet Road,560038,East,,
"whitefield, wf, itpl, whitfield, ITPL area",Whitefield / ITPL,560066,East,,
"electronic city, elc, ecity, e city, electronics city",Electronic City Phase 1,560100,South,,
"bellandur, bellendur, bellandore",Bellandur,560103,South-East,,
"marathahalli, maratha halli, marthahalli, marathon halli",Marathahalli,560037,East,,
"manyata, manyata tech, manyata embassy, nagavara",Manyata Tech Park area,560045,North,,
"bagmane, cv raman nagar, swami vivekananda road area",Bagmane Tech Park area,560093,East,,
"silk board, silkboard, sb junction",Silk Board Junction,560100,South,,
"yelahanka, yalahanka, yelahanka new town",Yelahanka,560063,North,,
"banashankari, bsk, banashankri, banashankari 3rd stage",Banashankari,560050,South,,
"basavanagudi, basavnagudi, bs nagar, gandhi bazaar",Basavanagudi,560004,South,,
"malleswaram, malleshwaram, malleswarm",Malleswaram,560003,North-West,,
